['note_off', 42, 52.1989583333333, 9]
['note_off', 38, 52.3302083333333, 9]
['note_on', 36, 52.38229166666664, 9]
['note_on', 46, 52.38229166666664, 9]
['note_off', 36, 52.50104166666664, 9]
['note_off', 46, 52.54062499999997, 9]
['note_on', 42, 52.63229166666664, 9]
['note_off', 42, 52.69895833333331, 9]
['note_on', 42, 52.88229166666664, 9]
['note_off', 42, 52.91979166666664, 9]
['note_on', 42, 53.00729166666664, 9]
['note_off', 42, 53.059374999999974, 9]
['note_on', 42, 53.13229166666664, 9]
['note_off', 42, 53.19479166666664, 9]
['note_on', 36, 53.38229166666664, 9]
['note_on', 42, 53.38229166666664, 9]
['note_off', 42, 53.434374999999974, 9]
['note_off', 36, 53.436458333333306, 9]
['note_on', 42, 53.494791666666636, 9]
['note_off', 42, 53.54479166666663, 9]
['note_on', 36, 53.619791666666636, 9]
['note_on', 42, 53.619791666666636, 9]
['note_off', 42, 53.67187499999997, 9]
['note_off', 36, 53.73854166666664, 9]
['note_on', 36, 53.86979166666664, 9]
['note_on', 46, 53.86979166666664, 9]
['note_off', 36, 53.96145833333331, 9]
['note_off', 46, 54.02604166666664, 9]
['note_on', 38, 54.11979166666664, 9]
['note_on', 42, 54.11979166666664, 9]
['note_off', 42, 54.184374999999974, 9]
['note_off', 38, 54.33229166666664, 9]
['note_on', 36, 54.36979166666664, 9]
['note_on', 46, 54.36979166666664, 9]
['note_off', 46, 54.51354166666664, 9]
['note_on', 42, 54.61979166666664, 9]
['note_off', 36, 54.64895833333331, 9]
['note_off', 42, 54.67187499999998, 9]
['note_on', 42, 54.74479166666664, 9]
['note_off', 42, 54.81145833333331, 9]
['note_on', 36, 54.86979166666664, 9]
['note_on', 42, 54.86979166666664, 9]
['note_off', 42, 54.92187499999998, 9]
['note_off', 36, 54.93645833333331, 9]
['note_on', 46, 54.99479166666664, 9]
['note_off', 46, 55.07395833333331, 9]
['note_on', 38, 55.11979166666664, 9]
['note_on', 42, 55.11979166666664, 9]
['note_off', 42, 55.22395833333331, 9]
['note_off', 38, 55.29062499999998, 9]
['note_on', 36, 55.36979166666664, 9]
['note_off', 36, 55.46145833333331, 9]
['note_on', 45, 55.61979166666664, 0]
['note_on', 36, 55.61979166666664, 9]
['note_off', 36, 55.74479166666664, 9]
['note_off', 45, 55.88645833333331, 0]
['note_on', 38, 56.11979166666664, 9]
['note_on', 48, 56.36979166666664, 0]
['note_off', 38, 56.36979166666664, 9]
['note_on', 36, 56.36979166666664, 9]
['note_on', 50, 56.61979166666664, 0]
['note_off', 48, 56.62395833333331, 0]
['note_off', 36, 56.69062499999998, 9]
['note_on', 52, 56.86979166666665, 0]
['note_on', 36, 56.86979166666665, 9]
['note_off', 50, 56.886458333333316, 0]
['note_off', 52, 57.00104166666665, 0]
['note_off', 36, 57.02812499999998, 9]
['note_on', 38, 57.11979166666665, 9]
['note_off', 38, 57.33020833333332, 9]
['note_on', 45, 57.36979166666665, 0]
['note_on', 36, 57.61979166666665, 9]
['note_off', 36, 57.78020833333332, 9]
['note_off', 45, 58.10104166666665, 0]
['note_on', 43, 58.11979166666665, 0]
['note_on', 38, 58.11979166666665, 9]
['note_on', 36, 58.36979166666665, 9]
['note_off', 38, 58.37187499999998, 9]
['note_off', 43, 58.59687499999998, 0]
['note_on', 45, 58.61979166666665, 0]
['note_off', 36, 58.755208333333314, 9]
['note_on', 36, 58.86979166666665, 9]
['note_off', 45, 58.89895833333332, 0]
['note_off', 36, 59.09687499999998, 9]
['note_on', 38, 59.11979166666665, 9]
['note_off', 38, 59.33229166666665, 9]
['note_on', 36, 59.36979166666665, 9]
['note_off', 36, 59.46145833333332, 9]
['note_on', 45, 59.61979166666665, 0]
['note_on', 36, 59.61979166666665, 9]
['note_off', 45, 59.77812499999998, 0]
['note_off', 36, 59.792708333333316, 9]
['note_on', 38, 60.11979166666665, 9]
['note_on', 48, 60.36979166666665, 0]
